Time,Contract,Qty,Side,Filled/Remaining,Exec.Price,Order Price,Stop Price,Order Value,Trading Fees,Cashflow,Realised P&L,Order Type,Status,Explanation,Client Order ID,Order ID
2026-05-05 15:39:58.673821+05:30 IST Asia/Kolkata,XAUTUSD,10,sell,10.00000000/0.00000000,4545.69000000,4091.56000000,4545.95000000,45.45690000,0.02413762,0.0235,0.0235,market_order,closed,,,1303155373
2026-05-05 13:38:07.274771+05:30 IST Asia/Kolkata,XAUTUSD,10,sell,0.00000000/10.00000000,,,4533.31000000,,0,,,market_order,cancelled,cancelled_by_user,,1303088040
2026-05-05 15:39:58.765240+05:30 IST Asia/Kolkata,XAUTUSD,10,sell,0.00000000/10.00000000,,,4554.42000000,,0,,,market_order,cancelled,position_closed,,1303087090
2026-05-05 13:35:04.488213+05:30 IST Asia/Kolkata,XAUTUSD,10,buy,10.00000000/0.00000000,4543.34000000,4997.02000000,,45.43340000,0.02412514,0,0,market_order,closed,,,1303084917
2026-05-04 12:43:33.192071+05:30 IST Asia/Kolkata,XAUTUSD,10,buy,10.00000000/0.00000000,4584.83000000,5042.56000000,4584.84000000,45.84830000,0.02434545,-0.0572,-0.0572,market_order,closed,,,1301339306
2026-05-04 12:43:33.296903+05:30 IST Asia/Kolkata,XAUTUSD,10,buy,0.00000000/10.00000000,,,4570.50000000,,0,,,market_order,cancelled,position_closed,,1301338850
2026-05-04 12:10:52.224338+05:30 IST Asia/Kolkata,XAUTUSD,10,sell,10.00000000/0.00000000,4579.11000000,4121.76000000,,45.79110000,0.02431508,0,0,market_order,closed,,,1301338232
2026-05-04 11:56:49.690452+05:30 IST Asia/Kolkata,ETHUSD,3,buy,3.000000000000000000/0.000000000000000000,2354.95000000,2473.50000000,2355.25000000,70.648500000000000000,0.03751436,0.477,0.477,market_order,closed,,,1301288631
2026-05-04 11:56:49.781743+05:30 IST Asia/Kolkata,ETHUSD,3,buy,0.000000000000000000/3.000000000000000000,,,2370.85000000,,0,,,market_order,cancelled,position_closed,,1301288514
2026-05-04 11:40:21.965630+05:30 IST Asia/Kolkata,ETHUSD,3,sell,3.000000000000000000/0.000000000000000000,2370.85000000,2252.55000000,,71.125500000000000000,0.03776765,0,0,market_order,closed,,,1301287587
2026-05-01 22:59:33.040237+05:30 IST Asia/Kolkata,XAUTUSD,170,sell,170.00000000/0.00000000,4615.53535294,4155.42000000,4616.38000000,784.64101000,0.41664438,-1.73819,-1.73819,market_order,closed,,,1298430894
2026-05-01 21:52:47.338566+05:30 IST Asia/Kolkata,XAUTUSD,170,sell,0.00000000/170.00000000,,,4611.32000000,,0,,,market_order,cancelled,cancelled_by_user,,1298328494
2026-05-01 22:59:33.184246+05:30 IST Asia/Kolkata,XAUTUSD,79,sell,0.00000000/79.00000000,,,4641.87000000,,0,,,market_order,cancelled,position_closed,,1298328095
2026-05-01 20:45:45.029660+05:30 IST Asia/Kolkata,XAUTUSD,170,buy,170.00000000/0.00000000,4625.76000000,5084.63000000,,786.37920000,0.41756736,0,0,market_order,closed,,,1298326953
